station_id,station_name,latitude,longitude,pickup_count
5450.04,N 12 St & Bedford Ave,40.72079820999999,-73.95484712000001,7379
5746.02,E 10 St & 2 Ave,40.729708056449944,-73.9865979552269,7363
5343.10,Allen St & Hester St,40.71606,-73.99191000000002,7335
6925.09,2 Ave & E 72 St,40.76876202930959,-73.95840793848038,7318
5235.05,S 3 St & Bedford Ave,40.71260486,-73.96264403,7273
5419.04,N 5 St & Wythe Ave,40.718389,-73.961501,7252
5453.06,Kenmare St & Elizabeth St,40.720539999999986,-73.9949,7231
6884.03,W 56 St & 8 Ave,40.76595918165798,-73.98313522338867,7203
6098.02,W 20 St & 5 Ave,40.739729892387246,-73.99103969335556,7193
5445.07,Stanton St & Norfolk St,40.720747,-73.986274,7140
7023.04,W 59 St & 10 Ave,40.770512999999994,-73.98803799999999,7134
5610.09,6 Ave & Broome St,40.72431000000001,-74.00473,7112
6779.05,Broadway & W 53 St,40.76344057999999,-73.98268129000002,7081
7020.02,E 77 St & 1 Ave,40.77095553869234,-73.95356208096926,7019
5746.14,E 11 St & 1 Ave,40.72953837000001,-73.98426726000001,7011
5721.07,Thompson St & Bleecker St,40.728400594508294,-73.99968780577183,7000
6986.07,Columbus Ave & W 59 St,40.769310000000004,-73.98464,6996
5134.09,Broadway & Kent Ave,40.71088799999999,-73.968329,6934
7311.02,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,6920
6560.01,Broadway & W 41 St,40.75513557000001,-73.98658031999999,6909
6762.02,E 58 St & 3 Ave,40.76095756,-73.96724467000001,6892
6215.04,W 25 St & 6 Ave,40.743954110000004,-73.99144871,6878
6560.15,Broadway & W 38 St,40.752972821606804,-73.98734897375107,6866
5886.13,E 20 St & FDR Dr,40.733208626522426,-73.9756813647,6855
6339.06,W 25 St & 9 Ave,40.747832605837715,-74.0005722643582,6855
5523.02,Stanton St & Chrystie St,40.72229346000001,-73.99147534999999,6848
5669.10,St Marks Pl & 2 Ave,40.7284186,-73.98713956,6846
6517.08,W 42 St & 6 Ave,40.75492,-73.98455000000001,6840
5779.10,E 14 St & 1 Ave,40.73139303364152,-73.98286700248718,6840
6131.1,E 24 St & Park Ave S,40.74096373999999,-73.98602213,6831
6322.01,E 33 St & 5 Ave,40.74765947,-73.98490706999999,6828
5291.05,Graham Ave & Conselyea St,40.71514299999999,-73.94450700000002,6825
6030.04,W 13 St & 7 Ave,40.73781509000001,-73.99994661,6794
6224.05,W 20 St & 8 Ave,40.74345335000001,-74.00004031000002,6793
6230.02,1 Ave & E 38 St,40.746202,-73.971822,6751
5187.03,Hope St & Union Ave,40.711673510000004,-73.95141312,6737
6464.09,E 44 St & Lexington Ave,40.752643000000006,-73.97499599999999,6719
4157.10,Bergen St & Vanderbilt Ave,40.67943880000001,-73.96804379999999,6719
5216.07,Vesey St & Greenwich St,40.71254669463547,-74.01113051087516,6706
6492.04,W 33 St & 10 Ave,40.753773368360385,-73.99937599897385,6683
5553.10,E 2 St & Ave A,40.72307749068673,-73.98583620786667,6625
5207.01,Centre St & Chambers St,40.71273266,-74.0046073,6590
6022.04,E 16 St & 5 Ave,40.73726186,-73.99238967,6578
5914.08,Greenwich Ave & Charles St,40.735238,-74.000271,6569
6578.01,W 34 St & 11 Ave,40.75594158999999,-74.0021163,6568
6190.08,9 Ave & W 18 St,40.743174490000015,-74.00366442999999,6544
6089.11,E 26 St & 3 Ave,40.74069317733043,-73.98160636425018,6511
5863.07,E 15 St & 3 Ave,40.734232000000006,-73.986923,6500
6233.05,W 16 St & The High Line,40.743349349999995,-74.00681753,6496
5721.01,Sullivan St & Washington Sq,40.73047747,-73.99906065000002,6481
5779.08,1 Ave & E 16 St,40.73221852999998,-73.98165556999999,6474
5545.01,E 7 St & Ave C,40.72412944090094,-73.97901266813278,6473
4010.01,Plaza St East & Flatbush Ave,40.673134,-73.96910599999997,6468
5476.03,E 2 St & Ave C,40.72087359999999,-73.98085795,6458
5666.04,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117000002,6446
6224.03,W 22 St & 8 Ave,40.744751480000005,-73.99915362,6428
5379.09,Berry St & N 8 St,40.71900949999999,-73.95852515000003,6415
6498.10,E 47 St & 2 Ave,40.753230980000005,-73.97032516999998,6400
