station_id,station_name,n_test_observations,mean_actual_demand,mae,rmse,r2
6876.04,Central Park S & 6 Ave,150,16.393333367466585,8.950308168678449,14.643002613427047,0.2855891482662387
5329.03,West St & Chambers St,150,20.646666641774434,8.482957691172723,11.865985072230751,0.6276289984327637
6765.01,12 Ave & W 40 St,150,15.24000006023686,8.079914343406209,12.174388369941155,0.2647873482031665
6173.08,Broadway & W 25 St,150,15.139999934244221,7.971786998690377,12.212268158676654,0.5087206898110164
6912.01,7 Ave & Central Park South,150,19.55333329675437,7.880196623080921,12.049618562315453,0.5600475994919117
6233.04,Pier 61 at Chelsea Piers,150,22.260000223190502,7.796848440574555,11.905808994092665,0.6777806429814811
6602.03,W 41 St & 8 Ave,150,15.046666736841571,7.641568612570706,11.174271288316934,0.21240031115503644
6948.10,Broadway & W 58 St,150,18.753333390936724,7.087195576508869,10.208415758439155,0.5272824963197735
7100.07,5 Ave & E 72 St,150,13.326666712105716,6.359462944415603,9.73821977766105,0.4748812335382445
6230.02,1 Ave & E 38 St,150,13.526666673256795,6.317120398857693,8.266598530934086,0.4136338360817057
6140.05,W 21 St & 6 Ave,150,22.979999867740478,6.265995841793566,9.247693780588646,0.7662751249988257
6331.01,W 31 St & 7 Ave,150,18.353333373130713,6.167917835109129,8.099238022627189,0.5889918046452247
6492.08,9 Ave & W 33 St,150,19.693333281343094,6.150124143609036,10.633523882457643,0.7658900239274409
6157.04,10 Ave & W 14 St,150,13.7733333684478,6.129073786937365,9.099583393271649,0.5180730467489708
5184.08,West St & Liberty St,150,14.000000053926767,6.078968120971232,9.201533821555122,0.5534376406103936
5696.03,Pier 40 - Hudson River Park,150,13.653333321894602,6.066157256047447,9.002595505905763,0.4742226995982005
7079.06,Central Park W & W 68 St,150,12.48666653708924,5.889865571314734,9.054423720038608,0.3652460713726915
5905.12,Broadway & E 14 St,150,18.5933333129846,5.854263394741119,8.074941227575327,0.6708629126077038
6450.05,8 Ave & W 31 St,150,16.773333361441587,5.822445442363112,8.022102816151284,0.592906514574564
6459.07,W 30 St & 10 Ave,150,17.80000003392481,5.791388994977836,8.535133782658944,0.7187895312458644
5980.10,E 17 St & Broadway,150,17.606666648950117,5.77987388376533,8.122264526317602,0.6765673959373212
6584.12,E 47 St & Park Ave,150,9.41999987957649,5.725642047417241,10.883791535489689,0.6187871289373288
5492.05,Cleveland Pl & Spring St,150,18.0999999828824,5.6923440719067475,8.376126709085389,0.6987440449064664
6839.15,Central Park S & Grand Army Plaza,150,13.00666671111979,5.6495034520550265,9.035817053449568,0.5618752441447219
5297.02,Vesey Pl & River Terrace,150,15.02666658916775,5.5205135258959235,8.496999346169597,0.7280018422410542
5308.04,Metropolitan Ave & Bedford Ave,150,18.493333313785534,5.460710421742086,7.817712497971344,0.7180229689456591
5659.05,E 10 St & Ave A,150,11.706666673802374,5.454601209163235,7.837162419561172,0.383036929460144
6197.08,E 33 St & 1 Ave,150,15.873333320542795,5.44758573232869,7.605700803579739,0.6649623956266825
6756.01,W 43 St & 10 Ave,150,14.560000004544541,5.364381012024748,8.032833137810277,0.6085031259882879
5470.12,North Moore St & Greenwich St,150,10.706666690343415,5.35142467153067,9.32790245322181,0.6241056014629776
5847.01,Christopher St & Greenwich St,150,13.733333362840089,5.250180561392969,7.3387267722874645,0.5184276588913184
5489.03,Kent Ave & N 7 St,150,12.253333306194452,5.21667253811399,7.352837631374935,0.5363373394647317
6364.07,6 Ave & W 33 St,150,17.52000003497511,5.197543168439822,7.277802229837001,0.6335931622324364
6432.09,Park Ave & E 42 St,150,15.973333342947269,5.1888553296983595,8.391755671698496,0.7516863896135101
6230.04,FDR Drive & E 35 St,150,10.499999987712538,5.177075451966756,8.024094547085966,0.5354426971390505
5905.14,University Pl & E 14 St,150,19.72666661129192,5.130826856532648,7.424295056847436,0.7441016284998139
7141.07,Central Park W & W 72 St,150,11.880000080802063,5.108059736409475,7.340882985185756,0.5139873690680969
6039.06,Washington St & Gansevoort St,150,15.213333441956845,5.0891215117995126,7.270131389100828,0.6138446891074687
6726.01,11 Ave & W 41 St,150,19.38000005004139,5.078155960533021,6.916450878957766,0.7741346258232655
5788.13,Lafayette St & E 8 St,150,19.826666644950826,5.063681714796533,7.534906868815047,0.7856987467464243
5730.08,Greenwich St & W Houston St,150,10.86000015098202,5.012921186864692,7.6599686706760135,0.41558879115071157
6676.02,W 45 St & 8 Ave,150,12.539999965836172,5.008927896099978,6.7902799298141865,0.42932280195927464
5561.06,Lafayette St & Jersey St,150,14.919999901369529,4.956870248405438,7.118017152159077,0.7316319644636736
5204.05,S 4 St & Wythe Ave,150,14.760000044854756,4.937267840383644,6.628507068640439,0.6245410576626045
4010.01,Plaza St East & Flatbush Ave,150,8.926666574618668,4.928925072868173,8.042620857404543,0.3252828938564989
6098.10,Broadway & E 21 St,150,16.42666662617448,4.927859271739104,7.381230163155869,0.7503296272731597
5276.04,S 2 St & Kent Ave,150,14.179999959281206,4.922869776807164,6.654672967980644,0.7028158947008825
5340.01,N 7 St & Driggs Ave,150,14.820000024172607,4.903616360507145,7.063773008451173,0.6779202845651895
7161.08,5 Ave & E 78 St,150,8.559999933226749,4.890303362015727,7.522441726059714,0.44554891378574224
7323.09,5 Ave & E 87 St,150,10.560000005047568,4.881392997093487,7.8822664182503495,0.4697274650942477
6526.05,8 Ave & W 38 St,150,15.219999918661658,4.801011143990607,6.639877519093668,0.6719602530870705
7175.05,Columbus Ave & W 72 St,150,14.033333408802177,4.800611103061999,7.405026349006402,0.594796303699116
5374.01,Norfolk St & Broome St,150,17.633333352388284,4.798678687070267,6.490959855625537,0.7223839125456855
5484.09,Allen St & Stanton St,150,11.460000014576345,4.796904598541217,6.677376725357675,0.36900273462453725
5679.08,Bleecker St & Crosby St,150,15.200000012019837,4.699197771528719,6.621556903463094,0.679307958225366
6708.04,Broadway & W 48 St,150,11.426666736451512,4.691958543510499,7.960158105092913,0.5968638496004312
5388.01,Kent Ave & Grand St,150,14.106666654538852,4.66773487156977,6.93812160931276,0.653791326598057
6747.07,8 Ave & W 49 St,150,15.300000036277511,4.665774324161064,6.548349404439663,0.7278844181890167
6779.05,Broadway & W 53 St,150,10.813333442218667,4.583047922513618,8.421661693257853,0.541886858435698
6257.03,W 24 St & 7 Ave,150,15.533333412392045,4.563925512471598,6.3361340484462225,0.7257912735915468
7183.03,Riverside Blvd & W 67 St,150,10.73333337206267,4.55217350295831,6.636839781037711,0.5787154276566732
6425.04,11 Ave & W 27 St,150,12.00000002546945,4.546493363417553,6.475677435531498,0.5730853925047278
5763.03,Carmine St & 6 Ave,150,17.30666669741097,4.540611943114197,6.404706146022541,0.6960245275589287
6756.05,W 44 St & 11 Ave,150,11.51333336817376,4.477153766478748,6.4887696495609894,0.5904658642157193
6289.06,Broadway & W 29 St,150,16.24666663004854,4.4699933382047154,6.613542849956019,0.7554832521540105
5561.04,Mott St & Prince St,150,12.520000002355248,4.43719866207615,6.283068759329755,0.5288186787250102
6551.11,E 43 St & Madison Ave,150,10.813333276898247,4.430796943196529,7.375786675423446,0.7013795094390995
6822.09,1 Ave & E 68 St,150,14.886666650543315,4.413031637517674,6.9268309891171125,0.7782154025620046
6535.04,W 34 St & Hudson Blvd E,150,12.213333423063302,4.373061130931989,6.5934692549789915,0.6806395884404617
5303.08,Canal St & Rutgers St,150,14.293333315331987,4.3048162984717795,5.951086877987591,0.639135813537677
5805.07,7 Ave S & Bleecker St,150,10.973333327458368,4.299418654197022,5.776110255357543,0.39645660723878506
5343.11,Orchard St & Grand St,150,12.153333385558163,4.287265701013975,5.97402399463111,0.6037927048242033
5379.10,N 6 St & Bedford Ave,150,13.919999987234599,4.258230398088722,6.338885657165201,0.6714522979661217
